symbol,product_type,put_call,strike,net_position,price,currency,multiplier,maturity_date
AMZN,ST,,,680,3469.594971,USD,1,
MGLU3,OP,P,8.69,33000,1.835787535,BRL,1,2022-1-1
UGPA3,ST,,,-28181,13.99499989,BRL,1,
ELET3,OP,P,35.55,7100,3.318814278,BRL,1,2022-1-1
ELET3,OP,C,37.05,4000,0.6414365172,BRL,1,2022-1-1
JBSS3,OP,C,38.48,-2800,0.6097781658,BRL,1,2022-1-1
ABEV,OP,P,18.5,1500,2.470705509,BRL,1,2022-1-1
PETR4,OP,P,25.35,-204600,0.4537816048,BRL,1,2022-1-1
MGLU3,OP,P,21.74,12300,14.65432549,BRL,1,2021-7-12
BRAP4,OP,C,52.16,-3100,1.002864003,BRL,1,2021-7-12
BBDC4,OP,P,22.32,1000,2.394828558,BRL,1,2022-1-1
ITUB4,OP,P,22.66,158100,0.7478621006,BRL,1,2021-7-12
LAME4,OP,P,4.95,28100,0.2616393864,BRL,1,2021-7-12
CMIG4,OP,P,15,44800,1.931421399,BRL,1,2021-7-12
VIIA3,OP,C,10,-66800,0.02030643821,BRL,1,2022-1-1
CSNA,OP,C,35.23,-100,0.006305320188,BRL,1,2021-7-12
ABEV,OP,C,19.07,-58000,0.01429190487,BRL,1,2021-7-12
BRKM5,OP,C,61,47200,0.3089410663,BRL,1,2021-7-12
BBAS,OP,P,27.48,-10100,0.9630874395,BRL,1,2022-0-5
BBDC4,OP,C,20.77,-170390,0.3492112458,BRL,1,2021-7-12
ELET6,OP,C,35,-6000,0.2796232402,BRL,1,2021-7-12
B3SA3,OP,P,15.31,-66000,4.118812561,BRL,1,2021-7-12
BRKM5,OP,P,49,12100,0.9212059975,BRL,1,2021-7-12
B3SA3,OP,C,20.06,100,7.45E-05,BRL,1,2021-7-12
MGLU3,OP,P,17.24,100,10.17475986,BRL,1,2021-7-12
VALE3,OP,P,75.47,-33700,5.555344582,BRL,1,2021-7-12
MGLU3,OP,P,21.24,2000,14.156497,BRL,1,2021-7-12
ABEV,OP,C,19.57,-44300,0.01155785564,BRL,1,2021-7-12
VALE3,OP,P,65.47,-200,5.596097946,BRL,1,2022-6-12
CSNA,OP,C,27.23,-45700,0.06699508429,BRL,1,2021-7-12
LAME4,OP,P,5.4,9300,0.6708623171,BRL,1,2022-1-1
PETR4,OP,C,33.6,-66700,0.4654589295,BRL,1,2022-1-1
BBSE,OP,C,28,500,0.01262611058,BRL,1,2022-1-1
BBAS,OP,C,29.37,-8700,2.636591434,BRL,1,2021-7-12
VALE3,OP,C,77.47,-89900,0.5200111866,BRL,1,2021-7-12
MGLU3,OP,P,11.24,123000,4.216714859,BRL,1,2021-7-12
GOAU4,OP,P,12.01,7100,1.208163977,BRL,1,2021-7-12
VIIA3,OP,C,14.75,3400,,BRL,1,2021-7-12
VALE3,OP,P,95.47,-122900,23.9540596,BRL,1,2022-1-1
BRML3,OP,P,8.4,46000,0.8723528385,BRL,1,2022-1-1
SANB11,OP,P,35.2,30000,2.58004117,BRL,1,2021-7-12
VALE3,OP,C,79.47,-25000,1.450841188,BRL,1,2022-1-1
BRDT3,ST,,,3501,21.27500153,BRL,1,
UGPA3,OP,C,12.8,-2300,1.407064557,BRL,1,2021-7-12
QQQ,ST,,,5700,391.1900024,USD,1,
PCAR3,OP,C,24,7300,0.7064902186,BRL,1,2022-1-1
MULT3,OP,C,21,-119500,0.6804062724,BRL,1,2022-1-1
VIIA3,OP,C,10,-122100,0.003696302185,BRL,1,2021-7-12
VALE3,OP,C,63.47,-7400,7.908080578,BRL,1,2021-7-12
PETR4,OP,C,34.1,-40700,0.7370380163,BRL,1,2022-8-2
CYRE3,OP,C,20.41,-100,0.01423469931,BRL,1,2021-7-12
PETR4,OP,P,34.1,27700,4.576178074,BRL,1,2022-1-1
MGLU3,OP,C,20.49,-100,0.007310112938,BRL,1,2022-1-1
UGPA3,OP,P,12.8,700,0.1682922095,BRL,1,2021-7-12
