symbol_underlying,symbol,product_type,put_call,strike,net_position,price,currency,multiplier,maturity_date
SPY,SPY,OP,P,350,-1000,2.01,USD,100,2022-1-1
VIIA3,VIA3E,OP,C,9.9,38900,0.01,BRL,1,2021-7-12
B3SA3,B3SAE,OP,C,11.81,36700,0.16,BRL,1,2021-7-12
ABEV3,ABV3E,OP,P,13.07,-3500,0.01,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,21,1700,15.72,BRL,1,2021-7-12
USIM5,USIME,OP,P,12.96,-37700,0.84,BRL,1,2022-1-1
BRKM5,BRK5A,OP,C,78,-1000,0.01,BRL,1,2021-7-12
BRKM5,BRK5E,OP,P,57,11700,5.09,BRL,1,2021-7-12
MULT3,MUL3A,OP,C,19.5,21100,1.26,BRL,1,2022-1-1
BBDC4,BDC4A,OP,C,25.32,12840,0.01,BRL,1,2021-7-12
ELET6,ELE6E,OP,P,34,600,2.27,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,15.24,1000,8.17,BRL,1,2022-1-1
ABEV3,ABV3E,OP,P,20.07,6300,4.13,BRL,1,2021-7-12
GGBR4,GGB4E,OP,P,24.9,90800,0.53,BRL,1,2021-7-12
PETR4,PTR4A,OP,C,34.74,-37100,0.05,BRL,1,2021-7-12
ITUB4,ITB4E,OP,P,28.16,-102500,5.83,BRL,1,2021-7-12
VBBR3,VBB3A,OP,C,21.72,54700,0.53,BRL,1,2021-7-12
CSAN3,CSA3E,OP,P,21,-3000,0.58,BRL,1,2021-7-12
ITSA4,ITSAA,OP,C,10.39,-164700,0.15,BRL,1,2022-1-1
CSNA3,CSN3A,OP,C,32.73,-10800,0.01,BRL,1,2021-7-12
BOV11,BOV9A,OP,C,90,48542,9.6,BRL,1,2022-1-1
MGLU3,MGL3E,OP,C,11.49,9400,0.02,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,32.49,-6100,3.09,BRL,1,2021-7-12
MGLU3,MGL3E,OP,C,15.99,-170300,0.01,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,5.89,-19800,0.16,BRL,1,2021-7-12
MGLU3,MGL3E,OP,C,7.79,-69900,0.22,BRL,1,2021-7-12
GGBR4,GGB4A,OP,C,29.9,400,0.09,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,23.49,151700,0.1,BRL,1,2021-7-12
ELET3,ELE3A,OP,C,40.55,900,0.05,BRL,1,2021-7-12
TAE11,TAE1A,OP,C,36.5,-7500,1.19,BRL,1,2022-1-1
VALE3,VAL3A,OP,C,113.47,7700,0.01,BRL,1,2022-1-1
B3SA3,B3SAE,OP,C,13.31,-101500,0.02,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,9.6,600,4.32,BRL,1,2022-1-1
ELET6,ELE6E,OP,P,32,-12000,1.68,BRL,1,2022-1-1
PCAR3,PCA3A,OP,C,28.5,-29500,0.02,BRL,1,2021-7-12
BRAP4,BRA4A,OP,C,49.5,1800,3.2,BRL,1,2022-1-1
ITUB4,ITB4E,OP,P,21.74,-4800,0.73,BRL,1,2022-1-1
JBSS3,JBS3E,OP,P,35.98,-10200,2.39,BRL,1,2021-7-12
AAPL,AAPL,ST,,,25243,164.77,USD,1,
EMBR3,EMB3E,OP,P,24,-600,5.67,BRL,1,2021-7-12
